H:M:S:MS),Midspain-x,Midspain-y,Midspain-z,AnkleLeft-x,AnkleLeft-y,AnkleLeft-z,AnkleRight-x,AnkleRight-y,AnkleRight-z,ElbowLeft-x,ElbowLeft-y,ElbowLeft-z,ElbowRight-x,ElbowRight-y,ElbowRight-z,FootLeft-x,FootLeft-y,FootLeft-z,FootRight-x,FootRight-y,FootRight-z,HandLeft-x,HandLeft-y,HandLeft-z,HandRight-x,HandRight-y,HandRight-z,HandTipLeft-x,HandTipLeft-y,HandTipLeft-z,HandTipRight-x,HandTipRight-y,HandTipRight-z,Head-x,Head-y,Head-z,HipLeft-x,HipLeft-y,HipLeft-z,HipRight-x,HipRight-y,HipRight-z,KneeLeft-x,KneeLeft-y,KneeLeft-z,KneeRight-x,KneeRight-y,KneeRight-z,Neck-x,Neck-y,Neck-z,ShoulderLeft-x,ShoulderLeft-y,ShoulderLeft-z,ShoulderRight-x,ShoulderRight-y,ShoulderRight-z,SpineBase-x,SpineBase-y,SpineBase-z,SpineShoulder-x,SpineShoulder-y,SpineShoulder-z,ThumbLeft-x,ThumbLeft-y,ThumbLeft-z,ThumbRight-x,ThumbRight-y,ThumbRight-z,WristLeft-x,WristLeft-y,WristLeft-z,WristRight-x,WristRight-y,WristRight-z
0:0:0:0),0.0009881742298603058,0.23410310235340148,-0.047469620825722814,-0.10317153483629227,-0.7795794010162354,0.10503493249416351,0.033107735216617584,-0.761731743812561,0.13844428956508636,-0.1946789175271988,0.22587281465530396,-0.077981136739254,0.2190571278333664,0.2087199091911316,-0.037347376346588135,-0.1310281753540039,-0.8786320686340332,-0.019650898873806,0.07653019577264786,-0.8510655164718628,0.01743469387292862,-0.20254452526569366,-0.004053537733852863,-0.1797727644443512,0.24648620188236237,-0.019843874499201775,-0.12218485027551651,-0.17514605820178986,-0.0959266871213913,-0.240139901638031,0.23105913400650024,-0.09923788160085678,-0.17390237748622894,-0.0026079388335347176,0.6143550276756287,-0.29251813888549805,-0.11417239904403687,-0.006828406360000372,-0.007972370833158493,0.11431713402271271,0.007450515404343605,0.009245573543012142,-0.0665646567940712,-0.42344653606414795,-0.0024661049246788025,0.06742944568395615,-0.39877986907958984,0.0225218515843153,0.0019039809703826904,0.46789515018463135,-0.09557584300637245,-0.16524596512317657,0.46574652194976807,-0.09867524355649948,0.16905392706394196,0.47004377841949463,-0.09247644245624542,7.236748933792114e-05,0.00031105452217161655,0.0006366013549268246,0.0019039809703826904,0.46789515018463135,-0.09557584300637245,-0.18746885657310486,-0.021778754889965057,-0.19142043590545654,0.23192864656448364,-0.03601742163300514,-0.13693736493587494,-0.20254452526569366,-0.004053537733852863,-0.1797727644443512,0.24648620188236237,-0.019843874499201775,-0.12218485027551651
0:0:0:40),0.0013489704579114914,0.23486235947348177,-0.04246180411428213,-0.09995482116937637,-0.779549241065979,0.10179555416107178,0.03369514271616936,-0.7648401856422424,0.11882980912923813,-0.19143521785736084,0.2283741682767868,-0.0739666298031807,0.21890650689601898,0.2086750864982605,-0.03564560040831566,-0.12782560288906097,-0.878821611404419,-0.022770775482058525,0.07610753178596497,-0.8551974892616272,-0.005512793082743883,-0.19808386266231537,0.0003090878017246723,-0.17863699793815613,0.24442549049854279,-0.020422540605068207,-0.12108772248029709,-0.1707610785961151,-0.0930575281381607,-0.2392699122428894,0.22805577516555786,-0.10091295093297958,-0.17224127054214478,-0.002243444789201021,0.6174160838127136,-0.27728036046028137,-0.11408242583274841,-0.006636264268308878,-0.007372952997684479,0.11422767490148544,0.0072518992237746716,0.008638996630907059,-0.0667344406247139,-0.4229065179824829,-0.002512657316401601,0.06428602337837219,-0.3988317549228668,0.014675647020339966,0.0026253163814544678,0.46941690146923065,-0.08555663004517555,-0.1638302057981491,0.4682856798171997,-0.08797277510166168,0.16908083856105804,0.4705481231212616,-0.08314048498868942,7.262453436851501e-05,0.0003078174777328968,0.00063302181661129,0.0026253163814544678,0.46941690146923065,-0.08555663004517555,-0.18305693566799164,-0.01802573725581169,-0.19044987857341766,0.2295437455177307,-0.036891091614961624,-0.1355120837688446,-0.19808386266231537,0.0003090878017246723,-0.17863699793815613,0.24442549049854279,-0.020422540605068207,-0.12108772248029709
0:0:0:80),0.001832885667681694,0.2340302396332845,-0.03715402591478778,-0.09789670258760452,-0.773051381111145,0.08258996903896332,0.04254993796348572,-0.7645003795623779,0.05102681368589401,-0.1835687905550003,0.22572702169418335,-0.06276272237300873,0.21869060397148132,0.20141473412513733,-0.0356181338429451,-0.1286502331495285,-0.8721524477005005,-0.04377245903015137,0.07262133061885834,-0.8551402688026428,-0.08844707906246185,-0.170322448015213,0.0012782722478732467,-0.1742706447839737,0.23685817420482635,-0.023920802399516106,-0.12263063341379166,-0.13231398165225983,-0.08927508443593979,-0.2365233600139618,0.21699436008930206,-0.10192838311195374,-0.17342312633991241,-0.002101750345900655,0.6165271997451782,-0.26754075288772583,-0.11394833773374557,-0.006159032694995403,0.0002518229011911899,0.1140904426574707,0.0067685809917747974,0.0010779285803437233,-0.0679025948047638,-0.41862213611602783,-0.003982577472925186,0.06219441443681717,-0.3939604163169861,-0.03205713629722595,0.003594718873500824,0.4677557051181793,-0.07497292757034302,-0.16218559443950653,0.46756717562675476,-0.07005812972784042,0.16937503218650818,0.4679442346096039,-0.07988772541284561,7.105246186256409e-05,0.0003047741483896971,0.0006648757407674566,0.003594718873500824,0.4677557051181793,-0.07497292757034302,-0.15262702107429504,-0.01607748679816723,-0.18625488877296448,0.22041034698486328,-0.03958543762564659,-0.13634708523750305,-0.170322448015213,0.0012782722478732467,-0.1742706447839737,0.23685817420482635,-0.023920802399516106,-0.12263063341379166
0:0:0:120),0.003123728558421135,0.2339590691262856,-0.03774475391401211,-0.09968088567256927,-0.7632958292961121,0.09803836047649384,0.04692773148417473,-0.7579073309898376,0.0716979056596756,-0.17416413128376007,0.2250034511089325,-0.06357848644256592,0.21875935792922974,0.2002798467874527,-0.03614947944879532,-0.1330167055130005,-0.8649682402610779,-0.026858510449528694,0.07014784216880798,-0.8538064956665039,-0.059835534542798996,-0.14700567722320557,0.003444964298978448,-0.17538847029209137,0.23068371415138245,-0.02379397489130497,-0.12608258426189423,-0.10474969446659088,-0.08342279493808746,-0.23930922150611877,0.20811569690704346,-0.09966979920864105,-0.17698237299919128,-0.0012690690346062183,0.6169846653938293,-0.26796281337738037,-0.1139044314622879,-0.005674732383340597,0.001618870417587459,0.11404389888048172,0.0062828995287418365,-0.0003023934841621667,-0.06934476643800735,-0.4155869483947754,0.0003703804686665535,0.06268048286437988,-0.3917901813983917,-0.022701626643538475,0.006177723407745361,0.4676140546798706,-0.07614774629473686,-0.15950147807598114,0.46754783391952515,-0.07225338369607925,0.17185692489147186,0.46768027544021606,-0.08004210889339447,6.973370909690857e-05,0.0003040835727006197,0.0006582384667126462,0.006177723407745361,0.4676140546798706,-0.07614774629473686,-0.1283407360315323,-0.012513203546404839,-0.18734125792980194,0.2134052813053131,-0.03899170085787773,-0.13928158581256866,-0.14700567722320557,0.003444964298978448,-0.17538847029209137,0.23068371415138245,-0.02379397489130497,-0.12608258426189423
0:0:0:160),0.003416638821363449,0.23461691511329263,-0.03557028592331335,-0.10209570825099945,-0.7562776207923889,0.10831751674413681,0.045163340866565704,-0.7555467486381531,0.08222409337759018,-0.17289523780345917,0.2257576584815979,-0.06388452649116516,0.21779625117778778,0.2004392296075821,-0.03240359202027321,-0.14294876158237457,-0.8593060374259949,-0.013428018428385258,0.05804388225078583,-0.8537713289260864,-0.04723334684967995,-0.13857723772525787,0.011631137691438198,-0.17550086975097656,0.2241557538509369,-0.019837351515889168,-0.124851293861866,-0.09237818419933319,-0.07212908565998077,-0.23982390761375427,0.2008265107870102,-0.09383966773748398,-0.175482839345932,-0.0013371563982218504,0.6205897331237793,-0.25947341322898865,-0.11387840658426285,-0.004891869146376848,0.002562731970101595,0.11401381343603134,0.005490278825163841,-0.001276470022276044,-0.07263748347759247,-0.4126631021499634,0.002523944014683366,0.0620608925819397,-0.3911994993686676,-0.018376296386122704,0.006765574216842651,0.4689346253871918,-0.07178370282053947,-0.15914832055568695,0.4693024456501007,-0.06970865279436111,0.17267946898937225,0.46856680512428284,-0.07385875284671783,6.770342588424683e-05,0.0002992048393934965,0.0006431309739127755,0.006765574216842651,0.4689346253871918,-0.07178370282053947,-0.11885249614715576,-0.0026967187877744436,-0.18739958107471466,0.20657680928707123,-0.034085627645254135,-0.1378488391637802,-0.13857723772525787,0.011631137691438198,-0.17550086975097656,0.2241557538509369,-0.019837351515889168,-0.124851293861866
0:0:0:200),0.0034017805010080338,0.23463286890182644,-0.036133146728388965,-0.10359334200620651,-0.7486059069633484,0.12920232117176056,0.03803743049502373,-0.7539044618606567,0.08484328538179398,-0.17113107442855835,0.225575253367424,-0.06430234760046005,0.21560955047607422,0.20062457025051117,-0.03266539424657822,-0.14694446325302124,-0.8529077172279358,0.00886335875838995,0.04216665029525757,-0.8537739515304565,-0.04166265204548836,-0.13103634119033813,0.012151760049164295,-0.17556430399417877,0.21724480390548706,-0.017686674371361732,-0.12567900121212006,-0.08294215053319931,-0.07148490101099014,-0.24006281793117523,0.192587211728096,-0.09069476276636124,-0.17625723779201508,-0.002150855492800474,0.620648980140686,-0.2613113820552826,-0.1138601303100586,-0.004313689190894365,0.003532134462147951,0.11399569362401962,0.00491714384406805,-0.0022559426724910736,-0.07402032613754272,-0.4114011824131012,0.008119011297821999,0.0610780194401741,-0.3910672068595886,-0.015212305821478367,0.006735779345035553,0.46896401047706604,-0.07290438935160637,-0.15919488668441772,0.4693586528301239,-0.07122810184955597,0.17266644537448883,0.4685693681240082,-0.07458067685365677,6.778165698051453e-05,0.00030172732658684254,0.0006380958948284388,0.006735779345035553,0.46896401047706604,-0.07290438935160637,-0.11084389686584473,-0.0019265729933977127,-0.18744568526744843,0.19949676096439362,-0.03131010755896568,-0.13858258724212646,-0.13103634119033813,0.012151760049164295,-0.17556430399417877,0.21724480390548706,-0.017686674371361732,-0.12567900121212006
0:0:0:240),0.00167832151055336,0.23488143185386434,-0.036397146817762405,-0.10559257864952087,-0.7343237400054932,0.18260425329208374,0.02294137142598629,-0.7540478110313416,0.08958541601896286,-0.17147836089134216,0.22553065419197083,-0.06423936039209366,0.20451126992702484,0.20037533342838287,-0.03576711565256119,-0.1514441967010498,-0.8426178097724915,0.07326679676771164,0.024786334484815598,-0.8551334738731384,-0.03757800534367561,-0.13248835504055023,0.012034764513373375,-0.1739392727613449,0.20096704363822937,-0.017808111384510994,-0.12865424156188965,-0.08612513542175293,-0.07207782566547394,-0.23803091049194336,0.17564643919467926,-0.09091679751873016,-0.17805717885494232,-0.0036323191598057747,0.6207583546638489,-0.2620295286178589,-0.11378775537014008,-0.0035911162849515676,0.004421615973114967,0.11393354833126068,0.004201799631118774,-0.003171635093167424,-0.07707583159208298,-0.4080188274383545,0.023971598595380783,0.056270673871040344,-0.391252726316452,-0.013631711713969707,0.0032837465405464172,0.4694575220346451,-0.07341928407549858,-0.1619078516960144,0.4701841473579407,-0.07205123454332352,0.16847534477710724,0.4687308967113495,-0.07478733360767365,7.289648056030273e-05,0.0003053416730836034,0.0006249904399737716,0.0032837465405464172,0.4694575220346451,-0.07341928407549858,-0.11258237808942795,-0.0022314107045531273,-0.18544048070907593,0.18346628546714783,-0.03138664364814758,-0.14117810130119324,-0.13248835504055023,0.012034764513373375,-0.1739392727613449,0.20096704363822937,-0.017808111384510994,-0.12865424156188965
0:0:0:280),0.001005483791232109,0.23479780508205295,-0.04493529978208244,-0.10543671250343323,-0.7219952344894409,0.2529096007347107,0.01845024712383747,-0.7529524564743042,0.08721917867660522,-0.16806088387966156,0.225431889295578,-0.07125233113765717,0.1973615288734436,0.19886954128742218,-0.05919109284877777,-0.16799533367156982,-0.8311956524848938,0.1620272845029831,0.015072950161993504,-0.8569480776786804,-0.039985012263059616,-0.12818369269371033,0.011747730895876884,-0.17729780077934265,0.1944209784269333,-0.025539280846714973,-0.1444169133901596,-0.08389900624752045,-0.07277360558509827,-0.2411467730998993,0.1695985645055771,-0.1005510687828064,-0.1921694129705429,-0.0038199673872441053,0.6186615824699402,-0.2776065468788147,-0.1129491776227951,-0.0028785206377506256,0.011815855279564857,0.11309147626161575,0.003491433337330818,-0.01059610117226839,-0.08326297998428345,-0.4039158225059509,0.06940535455942154,0.05257049575448036,-0.39132827520370483,-0.016634298488497734,0.001939818263053894,0.4692891538143158,-0.09048047661781311,-0.16263055801391602,0.47027871012687683,-0.08234690129756927,0.1665101945400238,0.46829959750175476,-0.09861405193805695,7.11493194103241e-05,0.0003064563497900963,0.0006098770536482334,0.001939818263053894,0.4692891538143158,-0.09048047661781311,-0.10879318416118622,-0.00270006712526083,-0.1887577623128891,0.1769421249628067,-0.03956528380513191,-0.15627871453762054,-0.12818369269371033,0.011747730895876884,-0.17729780077934265,0.1944209784269333,-0.025539280846714973,-0.1444169133901596
0:0:0:320),0.00026700645685195923,0.2323032845160924,-0.0577582442201674,-0.10484357178211212,-0.6945037245750427,0.2682690918445587,0.01724867895245552,-0.7526228427886963,0.08326359838247299,-0.16632622480392456,0.22081881761550903,-0.08091393858194351,0.1974266916513443,0.19419890642166138,-0.09936176985502243,-0.18134737014770508,-0.7986018061637878,0.1947588324546814,0.008225028403103352,-0.8579207062721252,-0.04216230288147926,-0.12941814959049225,0.0039987340569496155,-0.1827932447195053,0.18863573670387268,-0.03123016096651554,-0.18038929998874664,-0.08646177500486374,-0.08007131516933441,-0.24687236547470093,0.15835140645503998,-0.10512922704219818,-0.22601738572120667,-0.004335454199463129,0.6140391826629639,-0.3077978193759918,-0.11178367584943771,-0.002085884567350149,0.018985427916049957,0.11193235963582993,0.0027082778979092836,-0.01780110038816929,-0.09308459609746933,-0.393974244594574,0.061953168362379074,0.04452045261859894,-0.3921089172363281,-0.027635183185338974,0.0004596710205078125,0.4642953723669052,-0.11610865220427513,-0.1635371595621109,0.4671327769756317,-0.09859973937273026,0.16445650160312653,0.4614579677581787,-0.13361756503582,7.434189319610596e-05,0.00031119666527956724,0.0005921637639403343,0.0004596710205078125,0.4642953723669052,-0.11610865220427513,-0.11003877222537994,-0.010749285109341145,-0.19438496232032776,0.16984803974628448,-0.044826943427324295,-0.19084471464157104,-0.12941814959049225,0.0039987340569496155,-0.1827932447195053,0.18863573670387268,-0.03123016096651554,-0.18038929998874664
0:0:0:360),0.00023958459496498108,0.23236316576367244,-0.05633258679881692,-0.10494351387023926,-0.6775205135345459,0.28772708773612976,0.0166451558470726,-0.7522165179252625,0.0913972482085228,-0.1643734574317932,0.22072304785251617,-0.07798361033201218,0.19775550067424774,0.19438357651233673,-0.09293505549430847,-0.18623344600200653,-0.782047688961029,0.220228374004364,0.010634852573275566,-0.858191967010498,-0.02920791693031788,-0.1328628659248352,0.00010939094499917701,-0.17852844297885895,0.18465833365917206,-0.029035251587629318,-0.17451001703739166,-0.0907776728272438,-0.08663148432970047,-0.24169933795928955,0.15030308067798615,-0.10049430280923843,-0.21999579668045044,-0.00515029625967145,0.6146829724311829,-0.3046826422214508,-0.11147895455360413,-0.001487968722358346,0.020141970366239548,0.11163634061813354,0.0021259821951389313,-0.018967343494296074,-0.09614957123994827,-0.39191845059394836,0.05817367881536484,0.04346436634659767,-0.39285895228385925,-0.02515767328441143,0.0004004761576652527,0.4644073247909546,-0.11325248703360558,-0.16356727480888367,0.4671379327774048,-0.09757650643587112,0.16436822712421417,0.4616767168045044,-0.12892846763134003,7.869303226470947e-05,0.00031900673639029264,0.0005873134359717369,0.0004004761576652527,0.4644073247909546,-0.11325248703360558,-0.11386481672525406,-0.01566895842552185,-0.1901976615190506,0.1651984304189682,-0.04169109836220741,-0.1851164698600769,-0.1328628659248352,0.00010939094499917701,-0.17852844297885895,0.18465833365917206,-0.029035251587629318,-0.17451001703739166
